Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-7067	TU185E-6636		GO:0090305 // GO:0051607 // GO:0043571 // GO:0040007	GO:0005618	GO:0003676 // GO:0046872 // GO:0016787 // GO:0004519 // GO:0004518 // GO:0003677	cas1 // Rv2817c
G185E-7073	TU185E-6637		GO:0090305 // GO:0051607	GO:0005886 // GO:0005576	GO:0016787 // GO:0016740 // GO:0005524 // GO:0004527 // GO:0004519 // GO:0004518 // GO:0003723 // GO:0000166	cas10 // Rv2823c
G185E-7066	TU185E-6636		GO:0090502 // GO:0090305 // GO:0051607 // GO:0043571		GO:0046872 // GO:0016787 // GO:0004521 // GO:0004519 // GO:0004518	cas2 // Rv2816c
G185E-7074	TU185E-6637		GO:0090305 // GO:0051607		GO:0003723 // GO:0016788 // GO:0016787 // GO:0004519 // GO:0004518	cas6 // Rv2824c
G185E-5239	TU185E-5734	PWY-I9	GO:0019344 // GO:0006535 // GO:0019343	GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618 // GO:0005576	GO:0080146 // GO:0004124 // GO:0030170 // GO:0016829 // GO:0004122	cbs // cysM2 // Rv1077
G185E-4659	TU185E-5431		GO:0017004	GO:0005886 // GO:0016021 // GO:0016020		ccdA // ccsA // Rv0527
G185E-4661	TU185E-5431		GO:0040007 // GO:0017004 // GO:0015886	GO:0016021 // GO:0016020 // GO:0005886	GO:0020037	ccsA // ccsB // Rv0529
G185E-7590	TU185E-6872	PWY-6556 // PWY0-1298 // PWY-7200 // PWY-7181 // PWY-7199	GO:0046109 // GO:0043100 // GO:0009972	GO:0005886 // GO:0005829	GO:0047844 // GO:0046872 // GO:0016787 // GO:0008270 // GO:0004126 // GO:0003824	cdd // Rv3315c
G185E-6507	TU185E-6343		GO:0046342 // GO:0008654 // GO:0006629	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0016787 // GO:0008715	cdh // Rv2289
G185E-7133	TU185E-6665	PWY4FS-8 // PWY4FS-7 // PWY-5667 // PWY0-1319	GO:0040007 // GO:0016024 // GO:0008654 // GO:0006655 // GO:0006629	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618	GO:0016779 // GO:0016772 // GO:0016740 // GO:0004605	cdsA // Rv2881c
G185E-4176	TU185E-5192		GO:0009251 // GO:0008152 // GO:0005975 // GO:0000272 // GO:0030245	GO:0005886 // GO:0016021 // GO:0016020 // GO:0005576	GO:0016162 // GO:0016798 // GO:0016787 // GO:0008810 // GO:0004553	celA1 // cel6 // celA // Rv0062
G185E-5253	TU185E-5743					celA2a // Rv1089A
G185E-5254	TU185E-5744		GO:0051275 // GO:0008152 // GO:0005975 // GO:0000272		GO:0016798 // GO:0016787 // GO:0008810 // GO:0004553	celA2b // Rv1090
G185E-6939	TU185E-6570		GO:0098655 // GO:0071805 // GO:0006813	GO:0005886	GO:0015079 // GO:0008324 // GO:0005215	ceoB // trkA // Rv2691
G185E-6940	TU185E-6570		GO:0098655 // GO:0071805 // GO:0006813 // GO:0006811	GO:0005886	GO:0015079 // GO:0008324 // GO:0005215	ceoC // trkA // trkB // Rv2692
G185E-6602	TU185E-6403			GO:0005618 // GO:0005576		cfp2 // mtb12 // Rv2376c
G185E-6184	TU185E-6183		GO:0052651 // GO:0051793 // GO:0019626	GO:0005618 // GO:0005576	GO:0050525 // GO:0052689 // GO:0047372 // GO:0034338 // GO:0016787	cfp21 // clp1 // culp1 // Rv1984c
G185E-4947	TU185E-5575		GO:0042742 // GO:0006508	GO:0005829	GO:0008233	cfp29 // Rv0798c
G185E-4711	TU185E-5463			GO:0005576 // GO:0005886		cfp32 // Rv0577
G185E-7262	TU185E-7318			GO:0005576		cfp6 // Rv3004
G185E-5795	TU185E-5994		GO:0098656 // GO:0071805 // GO:0035725 // GO:0030007 // GO:0006883 // GO:0055085	GO:0005887 // GO:0005886 // GO:0016021 // GO:0016020	GO:0015386 // GO:0015385 // GO:0005215	chaA // Rv1607
G185E-6619	TU185E-6411	PWY0-1415 // HEMESYN2-PWY // HEME-BIOSYNTHESIS-II	GO:0019354		GO:0046872 // GO:0016829 // GO:0051266	che1 // Rv2393
G185E-7686	TU185E-6922	PWY-6947 // PWY-6946 // PWY-6945	GO:0006707 // GO:0008203 // GO:0008202 // GO:0006694 // GO:0006629		GO:0016995 // GO:0016853 // GO:0016614 // GO:0016491 // GO:0004769	choD // Rv3409c
G185E-6098	TU185E-7466			GO:0005829 // GO:0005886		cinA // Rv1901
G185E-5043	TU185E-5624	GLYOXYLATE-BYPASS // PWY-6969	GO:0005975 // GO:0008152 // GO:0006099	GO:0005886 // GO:0005829	GO:0036440 // GO:0046912 // GO:0016740 // GO:0004108 // GO:0003824	citA // gltA // Rv0889c
G185E-6734	TU185E-6472	PWY-6038	GO:0006107	GO:0005829	GO:0046872 // GO:0016829 // GO:0003824 // GO:0000287	citE // Rv2498c
G185E-6994	TU185E-6599		GO:0010447 // GO:0009408 // GO:0006979 // GO:0090062 // GO:0085016 // GO:0080134 // GO:0061136 // GO:0052170 // GO:0045893 // GO:0051701 // GO:0043620 // GO:0019217 // GO:0006950		GO:0043565 // GO:0003677	clgR // Rv2745c
G185E-4508	TU185E-5352		GO:0034605 // GO:0042026 // GO:0040007 // GO:0009408	GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618	GO:0016887 // GO:0005524 // GO:0000166	clpB // htpM // Rv0384c
G185E-7874	TU185E-7014		GO:0040007 // GO:0006457	GO:0005886 // GO:0005829 // GO:0005618	GO:0044183 // GO:0042803 // GO:0016887 // GO:0005524 // GO:0005515 // GO:0000166	clpC1 // clpC // Rv3596c
G185E-6915	TU185E-6557			GO:0005829		clpC2 // clpX' // Rv2667
G185E-6693	TU185E-6449		GO:0006515 // GO:0006508	GO:0009368 // GO:0005886 // GO:0005829 // GO:0005737	GO:0051117 // GO:0004176 // GO:0016787 // GO:0008236 // GO:0008233 // GO:0004252	clpP1 // clp // Rv2461c
G185E-6692	TU185E-6449		GO:0006515 // GO:0040007 // GO:0006508	GO:0009368 // GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0051117 // GO:0004176 // GO:0016787 // GO:0008236 // GO:0008233 // GO:0005515 // GO:0004252	clpP2 // Rv2460c
G185E-5510	TU185E-5874		GO:0006508 // GO:0030163		GO:0051087	clpS // Rv1331
G185E-6689	TU185E-6446		GO:0030163 // GO:0006508 // GO:0051301 // GO:0040007 // GO:0032272 // GO:0006457	GO:0005759 // GO:0005829 // GO:0005618	GO:0016887 // GO:0004176 // GO:0051082 // GO:0046983 // GO:0046872 // GO:0008270 // GO:0005524 // GO:0005515 // GO:0000166	clpX // Rv2457c
G185E-7668	TU185E-7259	PWY0-541 // PWY-6113 // PWYG-321	GO:0071768 // GO:0046500 // GO:0032259 // GO:0008610 // GO:0006629	GO:0005829 // GO:0005886 // GO:0005737	GO:0016740 // GO:0008825 // GO:0008168	cmaA1 // Rv3392c
G185E-4635	TU185E-5421	PWY-6113 // PWYG-321	GO:0071769 // GO:0071768 // GO:0071766 // GO:0052167 // GO:0046500 // GO:0032259 // GO:0008610 // GO:0006629 // GO:0001666	GO:0005886 // GO:0005829 // GO:0005737	GO:0016740 // GO:0008825 // GO:0008168	cmaA2 // cma2 // Rv0503c
G185E-5904	TU185E-6038	PWY-7205 // PWY0-162 // PWY-7208 // PWY-7211 // PWY-7176 // PWY-7200 // PWY-7197	GO:0015949 // GO:0046940 // GO:0006220 // GO:0015940 // GO:0040007 // GO:0016310 // GO:0006139	GO:0005829 // GO:0005737	GO:0036431 // GO:0036430 // GO:0004592 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0004127 // GO:0000166	cmk // Rv1712
G185E-5865	TU185E-6023		GO:0006355	GO:0005829	GO:0003700 // GO:0003677	cmr // Rv1675c
G185E-6196	TU185E-6192		GO:0046686 // GO:0010468 // GO:0010288 // GO:0006355		GO:0097063 // GO:0046872 // GO:0046870 // GO:0032791 // GO:0005515 // GO:0003700 // GO:0003677	cmtR // Rv1994c
G185E-5256	TU185E-5746	PANTO-PWY	GO:0040007 // GO:0016310 // GO:0015937	GO:0005886 // GO:0005829 // GO:0005737	GO:0016740 // GO:0016301 // GO:0005524 // GO:0005515 // GO:0004594 // GO:0000166	coaA // Rv1092c
G185E-5820	TU185E-6005		GO:0040007 // GO:0016310 // GO:0015937	GO:0005829 // GO:0005737	GO:0032564 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0004140 // GO:0002135 // GO:0000166	coaE // Rv1631
G185E-7879	TU185E-7016	PANTO-PWY	GO:0016310 // GO:0015937	GO:0005829 // GO:0005886 // GO:0005737	GO:0004594 // GO:0043169 // GO:0046872 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0000166	coaX // Rv3600c
G185E-7099	TU185E-6648	P381-PWY // PWY-7376	GO:0009236 // GO:0006541	GO:0005829 // GO:0005886	GO:0043802 // GO:0042242 // GO:0016874 // GO:0005524 // GO:0003824 // GO:0000166	cobB // Rv2848c
G185E-6443	TU185E-6312	P381-PWY // COBALSYN-PWY // PWY-5509	GO:0040007 // GO:0009058	GO:0005829 // GO:0005737	GO:0030170 // GO:0016740 // GO:0008483 // GO:0003824	cobC // Rv2231c
G185E-6449	TU185E-7409	P381-PWY // PWY-7962	GO:0015889 // GO:0009236	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0015420 // GO:0048472	cobD // Rv2236c
G185E-6269	TU185E-6226	P381-PWY // PWY-7376		GO:0005829	GO:0016491	cobG // Rv2064
G185E-6270	TU185E-6226	P381-PWY // PWY-7376	GO:0009236	GO:0005829	GO:0016993 // GO:0016853	cobH // Rv2065
G185E-6271	TU185E-6226	P381-PWY // PWY-7376	GO:0032259 // GO:0009236 // GO:0008152	GO:0005829 // GO:0005886	GO:0030789 // GO:0030788 // GO:0016740 // GO:0008757 // GO:0008168 // GO:0003824	cobI // Rv2066
G185E-6275	TU185E-6228	P381-PWY // PWY-7376	GO:0009236	GO:0005829	GO:0016994 // GO:0016491	cobK // Rv2070c
G185E-6277	TU185E-6228	P381-PWY // PWY-7376	GO:0032259 // GO:0009236 // GO:0006479	GO:0005886 // GO:0005618	GO:0046025 // GO:0016740 // GO:0008276 // GO:0008168	cobL // Rv2072c
G185E-6276	TU185E-6228	P381-PWY // PWY-7376	GO:0032259 // GO:0009236	GO:0005829	GO:0046026 // GO:0016740 // GO:0008168	cobM // Rv2071c
G185E-6266	TU185E-6225	P381-PWY // PWY-7376	GO:0009236 // GO:0009058	GO:0005886 // GO:0005829	GO:0051116	cobN // Rv2062c
G185E-7100	TU185E-6648	P381-PWY // PWY-7962 // PWY-6268	GO:0009236	GO:0005829	GO:0016740 // GO:0008817 // GO:0005524	cobO // cobA // Rv2849c
G185E-4377	TU185E-5292	P381-PWY // PWY-7962	GO:0015889 // GO:0009236 // GO:0006541	GO:0005829	GO:0015420 // GO:0003824	cobQ1 // cobQ // Rv0255c
G185E-8000	TU185E-7079	P381-PWY // PWY-7962	GO:0008360 // GO:0071555 // GO:0009252 // GO:0006541 // GO:0009236	GO:0005829	GO:0016787 // GO:0016874 // GO:0140282 // GO:0004359 // GO:0003824	cobQ2 // Rv3713
G185E-6418	TU185E-6299	P381-PWY // COBALSYN-PWY // PWY-5509	GO:0009236	GO:0016021 // GO:0016020 // GO:0005886	GO:0051073 // GO:0016740 // GO:0008818	cobS // Rv2208
G185E-6417	TU185E-6299	P381-PWY // COBALSYN-PWY // PWY-5509	GO:0009236 // GO:0009163	GO:0005829	GO:0016757 // GO:0016740 // GO:0008939	cobT // Rv2207
G185E-4376	TU185E-5292	P381-PWY // COBALSYN-PWY // PWY-7962 // PWY-7971	GO:0016310 // GO:0009236	GO:0005829	GO:0036429 // GO:0036428 // GO:0005524 // GO:0008820 // GO:0043752 // GO:0016779 // GO:0016740 // GO:0016301 // GO:0005525 // GO:0000166	cobU // Rv0254c
G185E-5410	TU185E-7540		GO:1903830 // GO:0055085 // GO:0051260 // GO:0030001 // GO:0015693 // GO:0006824 // GO:0006811	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005576	GO:0050897 // GO:0046873 // GO:0015095 // GO:0015087 // GO:0000287 // GO:0005215	corA // Rv1239c
G185E-7761	TU185E-7249			GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576		cpsA // Rv3484
G185E-4955	TU185E-7614	PWY-7622 // PWY-6404 // PWY-6317 // PWY-7344 // PWY-6397	GO:0000271	GO:0005829 // GO:0005618	GO:0016772 // GO:0016740	cpsY // Rv0806c
G185E-4124	TU185E-5162		GO:0051301 // GO:0008360 // GO:0007049	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0005515	crgA // Rv0011c
G185E-7959	TU185E-7057		GO:0045893 // GO:0045892 // GO:0040007 // GO:0006355	GO:0005829 // GO:0005886 // GO:0005618	GO:0030552 // GO:0005515 // GO:0003700 // GO:0003677 // GO:0000166	crp // Rv3676
G185E-5647	TU185E-5925	PWY0-1021 // PWY-6823 // PWY-7250	GO:0040007 // GO:0006534	GO:0005829 // GO:0005886	GO:0031071 // GO:0030170 // GO:0016740 // GO:0005515 // GO:0003824	csd // Rv1464
G185E-7072	TU185E-6637		GO:0051607	GO:0005829	GO:0003723	csm2 // Rv2822c
G185E-7071	TU185E-6637		GO:0090305 // GO:0051607	GO:0005829	GO:0016787 // GO:0004519 // GO:0004518 // GO:0003723	csm3 // Rv2821c
G185E-7070	TU185E-6637		GO:0051607		GO:0003723	csm4 // Rv2820c
G185E-7069	TU185E-6637		GO:0051607	GO:0005886 // GO:0005829	GO:0003723	csm5 // Rv2819c
G185E-7068	TU185E-6636		GO:0090305 // GO:0051607	GO:0005829	GO:0016787 // GO:0004519 // GO:0004518	csm6 // Rv2818c
G185E-5123	TU185E-5668		GO:0045892 // GO:0046688 // GO:0010272 // GO:0006355	GO:0032993 // GO:0005886 // GO:0005737	GO:0001217 // GO:0000976 // GO:0097077 // GO:0046872 // GO:0005515 // GO:0005507 // GO:0003677	csoR // Rv0967
G185E-7928	TU185E-7041		GO:0060567 // GO:0031564 // GO:0010468 // GO:0040007	GO:0005829 // GO:0005737 // GO:0005618	GO:0003723 // GO:0001072 // GO:0003677 // GO:0003676	cspA // Rv3648c
G185E-5025	TU185E-7599		GO:0060567 // GO:0031564 // GO:0010468	GO:0005829	GO:0003723 // GO:0001072 // GO:0003676	cspB // Rv0871
G185E-7324	TU185E-6753		GO:0015833 // GO:0015031 // GO:0031669 // GO:0009267	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886		cstA // Rv3063
G185E-5634	TU185E-7514		GO:0045333 // GO:0048034 // GO:0006783	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618	GO:0016765 // GO:0004311 // GO:0016740 // GO:0008495	ctaB // Rv1451
G185E-6410	TU185E-6295		GO:0042773 // GO:1902600 // GO:0051701 // GO:0040007	GO:0009319 // GO:0070469 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005576	GO:0046872 // GO:0005507 // GO:0004129	ctaC // Rv2200c
G185E-7304	TU185E-6738		GO:0022904 // GO:0015990 // GO:0040007 // GO:0009060 // GO:0006119	GO:0070469 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0046872 // GO:0020037 // GO:0004129	ctaD // Rv3043c
G185E-6403	TU185E-6293		GO:0055085 // GO:0009060 // GO:1902600 // GO:0040007 // GO:0022904 // GO:0019646	GO:0016021 // GO:0016020 // GO:0005886	GO:0015453 // GO:0009055 // GO:0004129	ctaE // Rv2193
G185E-4209	TU185E-5209		GO:0055070 // GO:0034220 // GO:0098655 // GO:0035434 // GO:0006825 // GO:0006811 // GO:0030001 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0005507 // GO:0016887 // GO:0140581 // GO:0043682 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166	ctpA // Rv0092
G185E-4220	TU185E-7714		GO:0055070 // GO:0034220 // GO:0098655 // GO:0035434 // GO:0030001 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829	GO:0005507 // GO:0016887 // GO:0043682 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166	ctpB // Rv0103c
G185E-7544	TU185E-6852		GO:0055070 // GO:0034220 // GO:0071421 // GO:0098655 // GO:0035434 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0005507 // GO:0016887 // GO:0140613 // GO:0015410 // GO:0043682 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166 // GO:0005215	ctpC // Rv3270
G185E-5652	TU185E-5929		GO:0006824 // GO:0034220 // GO:0035444 // GO:0098655 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005886	GO:0016887 // GO:0015413 // GO:0032778 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166 // GO:0005215	ctpD // Rv1469
G185E-5062	TU185E-5634		GO:0034220 // GO:0006816 // GO:0006811 // GO:0098655 // GO:0070588	GO:0043231 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0016887 // GO:0019829 // GO:0005388 // GO:0046872 // GO:0005524 // GO:0000166 // GO:0005215	ctpE // Rv0908
G185E-6199	TU185E-6195		GO:0034220 // GO:0098655 // GO:0070588	GO:0043231 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618	GO:0016887 // GO:0019829 // GO:0046872 // GO:0005524 // GO:0005388 // GO:0000166	ctpF // Rv1997
G185E-6194	TU185E-6191		GO:0034220 // GO:0098655 // GO:0071577 // GO:0070574 // GO:0046688 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0016887 // GO:0015086 // GO:0005385 // GO:0008551 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166	ctpG // Rv1992c
G185E-4550	TU185E-5372		GO:0034220 // GO:0098655 // GO:0070588 // GO:0040007	GO:0043231 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005829	GO:0016887 // GO:0005524 // GO:0019829 // GO:0005388 // GO:0000166 // GO:0005215	ctpH // Rv0425c
G185E-4224	TU185E-5215		GO:0034220 // GO:0098655 // GO:0070588	GO:0043231 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005829 // GO:0005618	GO:0016887 // GO:0019829 // GO:0005388 // GO:0046872 // GO:0005524 // GO:0000166 // GO:0005215	ctpI // Rv0107c
G185E-8033	TU185E-7102		GO:0034220 // GO:0098655 // GO:0006812	GO:0016021 // GO:0016020 // GO:0005886	GO:0016887 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166 // GO:0005215	ctpJ // nmtA // Rv3743c
G185E-5125	TU185E-5670		GO:0055070 // GO:0034220 // GO:0098655 // GO:0035434 // GO:0046688 // GO:0006825 // GO:0006812 // GO:0006811	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618	GO:0005507 // GO:0016887 // GO:0140581 // GO:0043682 // GO:0046872 // GO:0019829 // GO:0005524 // GO:0000166 // GO:0005215	ctpV // Rv0969
G185E-5953	TU185E-7481			GO:0005576	GO:0050525 // GO:0052689 // GO:0016787	cut1 // clp5 // culp5 // Rv1758
G185E-6519	TU185E-6353		GO:0042783	GO:0009986 // GO:0005576	GO:0050525 // GO:0052689 // GO:0016787	cut2 // cfp25 // clp2 // culp2 // Rv2301
G185E-7728	TU185E-6944			GO:0005576	GO:0050525 // GO:0052689 // GO:0016787	cut3 // clp3 // culp3 // Rv3451
G185E-7729	TU185E-6945		GO:0016042	GO:0005576 // GO:0016020 // GO:0005886 // GO:0005618	GO:0050525 // GO:0052689 // GO:0016788 // GO:0016787 // GO:0004623	cut4 // clp4 // culp4 // Rv3452
G185E-8013	TU185E-7087				GO:0016787	cut5a // Rv3724A
G185E-8014	TU185E-7088			GO:0005576 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005737	GO:0050525 // GO:0052689 // GO:0016787	cut5b // clp7 // culp7 // Rv3724B
G185E-5813	TU185E-6001		GO:0007168 // GO:0006182 // GO:0035556 // GO:0009190 // GO:0007165 // GO:0006171	GO:0016021 // GO:0016020 // GO:0005886	GO:0004383 // GO:0001653 // GO:0046872 // GO:0030145 // GO:0016849 // GO:0016829 // GO:0005524 // GO:0005515 // GO:0004016 // GO:0000287 // GO:0000166	cya // Rv1625c
G185E-5895	TU185E-6036		GO:0055085 // GO:0006865	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829	GO:0005215	cycA // Rv1704c
G185E-5811	TU185E-6000		GO:0019646	GO:0070069 // GO:0005886 // GO:0016021 // GO:0016020	GO:0046872 // GO:0020037 // GO:0016682 // GO:0009055	cydA // appC // Rv1623c
G185E-5810	TU185E-6000		GO:0019646 // GO:0040007	GO:0070069 // GO:0005886 // GO:0016021 // GO:0016020	GO:0016682 // GO:0009055	cydB // Rv1622c
G185E-5808	TU185E-5999		GO:0033228 // GO:0045454 // GO:0034775 // GO:0055085	GO:0016020 // GO:0005887 // GO:0005886 // GO:0016021 // GO:0005618	GO:0140359 // GO:0005215 // GO:0042626 // GO:0016887 // GO:0005524 // GO:0000166	cydC // Rv1620c
G185E-5809	TU185E-5999		GO:0055085 // GO:0042883	GO:0016021 // GO:0016020 // GO:0005886	GO:0140359 // GO:0005215 // GO:0042626 // GO:0034040 // GO:0016887 // GO:0005524 // GO:0000166	cydD // Rv1621c
G185E-6494	TU185E-6338	PWY-7236	GO:0006707 // GO:0040007 // GO:0016125	GO:0005886 // GO:0005737	GO:0016717 // GO:0036199 // GO:0008395 // GO:0070025 // GO:0046872 // GO:0020037 // GO:0016705 // GO:0016491 // GO:0009975 // GO:0005506 // GO:0004497	cyp121 // Rv2276
G185E-4914	TU185E-5561		GO:0006707	GO:0005886	GO:0046872 // GO:0036199 // GO:0020037 // GO:0016705 // GO:0016491 // GO:0008395 // GO:0005506 // GO:0004497	cyp123 // Rv0766c
G185E-6483	TU185E-6332		GO:0006631 // GO:0006629 // GO:0097089 // GO:0010430 // GO:0006707	GO:0005886	GO:0008395 // GO:0031073 // GO:0070402 // GO:0046872 // GO:0036199 // GO:0020037 // GO:0016705 // GO:0016491 // GO:0005506 // GO:0004497	cyp124 // Rv2266
