sample	tb_profiler_strain	mixed_strain
ERR4972521	lineage4.1.2.1	no
ERR4972522	lineage4.1.2.1.1	no
ERR4972523	lineage4.3.3	no
ERR4972524	lineage4.3.3	no
ERR4972525	lineage4.1.2.1.1	no
ERR4972526	lineage4.3.2	no
ERR4972527	lineage4.1.4	no
ERR4972528	lineage4.3.3	no
ERR4972529	lineage4.3.3	no
ERR4972530	lineage4.3.3	no
ERR4972531	lineage4.3.3	no
ERR4972532	lineage4.3.3	no
ERR4972533	lineage4.1.2.1.1	no
ERR4972534	lineage4.4.1.1;lineage4.3.3	yes
ERR4972535	lineage4.9;lineage4.1.2.1.1	yes
ERR4972536	lineage4.3.2	no
ERR4972537	lineage4.3.3	no
ERR4972538	lineage4.1.2.1.1	no
ERR4972539	lineage4.1.1	no
ERR4972540	lineage4.3.3	no
ERR4972541	lineage4.3.2	no
ERR4972542	lineage4.3.2	no
ERR4972543	lineage4.3.2	no
ERR4972544	lineage4.3.2	no
ERR4972545	lineage4.3.2	no
ERR4972546	lineage4.3.2	no
ERR4972547	lineage4.4.1.1	no
ERR4972548	lineage4.1.2.1.1	no
ERR4972549	lineage4.1.2.1.1	no
ERR4972550	lineage4.3.2	no
ERR4972551	lineage4.3.2	no
ERR4972552	lineage4.3.2	no
ERR4972553	lineage4.3.2	no
ERR4972554	lineage4.3.2	no
ERR4972555	lineage4.3.2	no
ERR4972556	lineage4.3.3	no
ERR4972557	lineage4.3.3	no
ERR4972558	lineage4.3.3	no
ERR4972559	lineage4.3.3	no
ERR4972560	lineage4.1.1	no
ERR4972561	lineage4.3.2	no
ERR4972562	lineage4.3.2	no
ERR4972563	lineage4.3.2	no
ERR4972564	lineage4.3.2	no
ERR4972565	lineage4.3.2	no
ERR4972566	lineage4.3.2	no
ERR4972567	lineage4.3.2	no
ERR4972568	lineage4.3.2	no
ERR4972569	lineage4.1.2.1.1	no
ERR4972570	lineage4.1.2.1.1	no
ERR4972571	lineage4.3.3	no
ERR4972572	lineage4.3.3	no
ERR4972573	lineage4.1.2.1.1	no
ERR4972574	lineage4.1.2.1.1	no
ERR4972575	lineage4.4.1.1;lineage4.3.3	yes
ERR4972576	lineage4.3.3	no
ERR4972577	lineage4.1.2.1.1	no
ERR4972578	lineage4.1.2.1.1	no
ERR4972579	lineage4.1.2.1.1	no
ERR4972580	lineage4.1.2.1	no
ERR4972581	lineage4.1.2.1.1	no
ERR4972582	lineage4.1.4	no
ERR4972583	lineage4.3.3	no
ERR4972584	lineage4.3.2	no
ERR4972585	lineage4.3.2	no
ERR4972586	lineage4.1.1	no
ERR4972587	lineage4.3.2	no
ERR4972588	lineage4.3.2	no
ERR4972589	lineage4.3.2	no
ERR4972590	lineage4.9;lineage4.1.2.1.1	yes
ERR4972591	lineage4.3.2	no
ERR4972592	lineage4.3.2	no
ERR502240	lineage4.6.2.2	no
ERR502241	lineage4.6.2.2	no
ERR502242	lineage4.6.2.2	no
ERR502243	lineage4.6.2.2	no
ERR502244	lineage4.6.2.2	no
ERR502245	lineage4.6.2.2	no
ERR502246	lineage4.6.2.2	no
ERR502247	lineage4.6.2.2	no
ERR502248	lineage3	no
ERR502249	lineage4.6.2.2	no
ERR502250	lineage4.6.2.2	no
ERR502251	lineage4.6.2.2	no
ERR502252	lineage4.6.2.2	no
ERR502253	lineage4.6.2.2	no
ERR502254	lineage4.6.2.2	no
ERR502255	lineage4.6.2.2	no
ERR502256	lineage4.6.2.2	no
ERR502257	lineage4.6.2.2	no
ERR502258	lineage4.6.2.2	no
ERR502259	lineage4.6.2.2	no
ERR502260	lineage4.6.2.2	no
ERR502261	lineage4.6.2.2	no
ERR502262	lineage4.6.2.2	no
ERR502263	lineage4.6.2.2	no
ERR502264	lineage4.6.2.2	no
ERR502265	lineage4.6.2.2	no
ERR502266	lineage4.6.2.2	no
ERR502267	lineage4.6.2.2	no
ERR502268	lineage4.6.2.2	no
ERR502269	lineage4.6.2.2	no
ERR502270	lineage4.6.2.2	no
ERR502271	lineage4.6.2.2	no
ERR502272	lineage4.6.2.2	no
ERR502273	lineage4.6.2.2	no
ERR502274	lineage4.6.2.2	no
ERR502275	lineage4.6.2.2	no
ERR502276	lineage4.6.2.2	no
ERR502277	lineage4.6.2.2	no
ERR502278	lineage4.6.2.2	no
ERR502279	lineage4.6.2.2	no
ERR502280	lineage4.6.2.2	no
ERR502281	lineage4.6.2.2	no
ERR502282	lineage4.6.2.2	no
ERR502283	lineage4.6.2.2	no
ERR502284	lineage4.6.2.2	no
ERR502285	lineage4.6.2.2	no
ERR502286	lineage4.6.2.2	no
ERR502287	lineage4.6.2.2	no
ERR502288	lineage4.6.2.2	no
ERR502289	lineage4.6.2.2	no
ERR502290	lineage4.6.2.2	no
ERR502291	lineage4.6.2.2	no
ERR502292	lineage4.6.2.2	no
ERR502293	lineage4.6.2.2	no
ERR502294	lineage4.6.2.2	no
ERR502295	lineage4.6.2.2	no
ERR502296	lineage4.6.2.2	no
