host_id	isolate_id
chen2021_p26_lineage2.2.1.1_strain1	SRR12062541
chen2021_p26_lineage2.2.1_strain2	SRR12062543
chen2021_p27_lineage2.2.1_strain1	SRR12062535
chen2021_p27_lineage2.2.1_strain1	SRR12062536
chen2021_p27_lineage2.2.1_strain1	SRR12062537
chen2021_p28_lineage2.2.1_strain1	SRR12062530
chen2021_p28_lineage2.2.1_strain1	SRR12062531
chen2021_p28_lineage2.2.1_strain1	SRR12062532
chen2021_p3_lineage2.2.1_strain1	SRR12062496
chen2021_p30_lineage2.2.1.1_strain1	SRR12062486
chen2021_p30_lineage2.2.1.1_strain1	SRR12062487
chen2021_p30_lineage2.2.1.1_strain1	SRR12062488
chen2021_p30_lineage2.2.1.1_strain1	SRR12062489
chen2021_p30_lineage2.2.1.1_strain1	SRR12062490
chen2021_p31_lineage2.2.1.1_strain1	SRR12062481
chen2021_p5_lineage2.2.1_strain1	SRR12062480
chen2021_p6_lineage2.2.1_strain1	SRR12062559
chen2021_p7_lineage2.2.1_strain1	SRR12062525
chen2021_p8_lineage2.2.1_strain1	SRR12062523
chen2021_p9_lineage2.2.1_strain1	SRR12062521
cox2021_-1141357296536002869_lineage2.2.1_strain1	ERR6361954
cox2021_-1637597506354949237_lineage2.2.1_strain1	ERR6052062
cox2021_-1805614810978340901_lineage2.2.2_strain1	ERR5987308
cox2021_-196498752828222888_lineage2.2.1.1_strain1	ERR6052051
cox2021_-2089854174240335046_lineage2.2.1_strain1	ERR5987283
cox2021_-2751694311891575926_lineage2.2.2_strain1	ERR6052036
cox2021_-2940056464540626871_lineage2.2.2_strain1	ERR6052061
cox2021_-3003801770544456763_lineage2.2.2_strain1	ERR6362282
cox2021_-3279147158138414076_lineage2.2.2_strain1	ERR6052058
cox2021_-4067237675071477178_lineage2.2.2_strain1	ERR6052028
cox2021_-4305431774902489675_lineage2.2.1_strain1	ERR6052104
cox2021_-4311254924074290359_lineage2.2.1_strain1	ERR6052039
cox2021_-4336607805712918329_lineage2.2.1_strain1	ERR5987357
cox2021_-479572279845524524_lineage2.2.1_strain1	ERR6052026
cox2021_-5003830784728732626_lineage2.2.1_strain1	ERR5987206
cox2021_-5471593511783698999_lineage2.2.2_strain1	ERR6052029
cox2021_-566641280065665799_lineage2.2.1_strain1	ERR5987285
cox2021_-5819236359239855624_lineage2.2.1_strain1	ERR5987196
cox2021_-7415953301924607514_lineage2.2.1_strain1	ERR5987193
cox2021_-751999987816340162_lineage2.2.1.1_strain1	ERR5987259
cox2021_-7647319990248505932_lineage2.2.2_strain1	ERR6052099
cox2021_-7679937154803026043_lineage2.2.2_strain1	ERR6052092
cox2021_-7696945922450709906_lineage2.2.1_strain1	ERR6052057
cox2021_-7816061136424697167_lineage2.2.1_strain1	ERR5987195
cox2021_-7977067280721106176_lineage2.2.1_strain1	ERR6362476
cox2021_-8193962020204446928_lineage2.2.1_strain1	ERR6362531
cox2021_-862119993586506133_lineage2.2.1_strain1	ERR5987203
cox2021_-8955575311315076910_lineage2.2.2_strain1	ERR5987231
cox2021_-8978082133920308749_lineage2.2.1_strain1	ERR6362153
cox2021_-9151764346715543944_lineage2.2.1_strain1	ERR5987270
cox2021_1423334682076659555_lineage2.2.1.1_strain1	ERR5987182
cox2021_1655089901574475622_lineage2.2.1_strain1	ERR6052095
cox2021_1705346656695052479_lineage2.2.2_strain1	ERR5987190
cox2021_179275750938004561_lineage2.2.1_strain1	ERR6362528
cox2021_1833630221486564809_lineage2.2.2_strain1	ERR6052049
cox2021_1926198491162306700_lineage2.2.1_strain1	ERR5987419
cox2021_1981270639090646645_lineage2.2.1_strain1	ERR5987386
cox2021_2169352775823695563_lineage2.2.1_strain1	ERR6052045
cox2021_2204602588746686541_lineage2.2.1.1_strain1	ERR5987309
cox2021_2222982007477896466_lineage2.2.1.1_strain1	ERR6362338
cox2021_2475891214766598153_lineage2.2.1.1_strain1	ERR6362002
cox2021_2508939788473222534_lineage2.2.2_strain1	ERR6052066
cox2021_2627149644579243723_lineage2.2.2_strain1	ERR6362639
cox2021_2989888560019710423_lineage2.2.2_strain1	ERR6052063
cox2021_3223104117022412181_lineage2.2.1_strain1	ERR6052020
cox2021_3265426241111634176_lineage2.2.2_strain1	ERR6052073
cox2021_3814011297768629955_lineage2.2.1_strain1	ERR6052031
cox2021_5118162739532664678_lineage2.2.1_strain1	ERR6052082
cox2021_5191263570900806308_lineage2.2.1_strain1	ERR6052068
cox2021_5232678755730372516_lineage2.2.1_strain1	ERR6362094
cox2021_5665809100706995092_lineage2.2.2_strain1	ERR6052034
cox2021_5789542081288426617_lineage2.2.2_strain1	ERR6361969
cox2021_5950673704837582045_lineage2.2.1_strain1	ERR5987220
cox2021_607231708605154860_lineage2.2.2_strain1	ERR5987260
cox2021_6937458846855751360_lineage2.2.1_strain1	ERR6052081
cox2021_6978997383431264286_lineage2.2.1_strain1	ERR5987223
cox2021_7166245865866845295_lineage2.2.1_strain1	ERR6362239
cox2021_7255707251898990070_lineage2.2.2_strain1	ERR6362503
cox2021_8170570310562912341_lineage2.2.1_strain1	ERR5987265
cox2021_82023916318021822_lineage2.2.1.1_strain1	ERR6052060
cox2021_8410406825750938724_lineage2.2.2_strain1	ERR6361974
cox2021_8655587981873330869_lineage2.2.2_strain1	ERR6052075
cox2021_8849379653350189376_lineage2.2.1_strain1	ERR6052094
d025dd91-b61c-44d2-ac67-86239da9dd9c_lineage2.2.1_strain1	SRR7516300
d1aeea48-af96-459e-bd43-a3ba0d08662a_lineage2.2.1_strain1	SRR1159204
d31e9541-3ba2-4cb1-953a-6c92ede0580c_lineage2.2.1_strain1	SRR10380246
d37ae01f-62f5-40ee-acbc-da58acb4a0da_lineage2.2.1_strain1	SRR13232735
d3af1bea-17f2-4c96-8bb1-a80ab5b9e9b3_lineage2.2.1_strain1	SRR3743500
d7e01d33-4d3b-489e-b617-f97070c3c859_lineage2.2.1_strain1	SRR6807750
dc06828e-994e-48a0-9b5b-9a6fe80a6a57_lineage2.2.1_strain1	SRR3544718
dc06828e-994e-48a0-9b5b-9a6fe80a6a57_lineage2.2.1_strain1	SRR3544732
dc06828e-994e-48a0-9b5b-9a6fe80a6a57_lineage2.2.1_strain1	SRR3544739
dc06828e-994e-48a0-9b5b-9a6fe80a6a57_lineage2.2.1_strain1	SRR3544741
dc06828e-994e-48a0-9b5b-9a6fe80a6a57_lineage2.2.1_strain1	SRR3544751
de1e071c-5591-443d-8a89-8aecdc0cef38_lineage2.2.1_strain1	SRR9738515
dippenaara2019_16_lineage2.2.1_strain1	ERR3340715
dippenaara2019_17_lineage2.2.1_strain1	ERR3340709
dippenaara2019_20_lineage2.2.1.1_strain1	ERR3340721
dippenaara2019_5_lineage2.2.1.1_strain1	ERR3340699
dippenaara2019_6_lineage2.2.1.1_strain1	ERR3340706
dippenaara2019_7_lineage2.2.1.1_strain1	ERR3340738
dippenaara2019_8_lineage2.2.1.1_strain1	ERR3340703
e10b21e7-f427-4d6d-8483-17497bc5956b_lineage2.2.1_strain1	SRR7516290
e51f2c97-edfe-4815-86ec-6beb54a2e1e0_lineage2.2.1_strain1	SRR7516453
e5579026-d7e4-4766-ade7-3b452350f8e3_lineage2.2.1_strain1	SRR13282527
e5ac4f87-cc73-4d1c-8803-2fa08eb04db2_lineage2.2.1_strain1	SRR13232715
e64ccb16-84c3-4787-8672-7a015cfa8990_lineage2.2.1_strain1	SRR13232405
e6895827-25df-4cc2-b91d-948d700517f2_lineage2.2.1_strain1	SRR10380182
e78e3d74-6c48-45fe-8e3e-df19be4f7f7a_lineage2.2.1_strain1	SRR5153864
e91b6e8b-079d-44e5-8c6e-90bf66dcaca6_lineage2.2.1_strain1	SRR3743475
e9dcbac3-949c-4823-bb41-ee6979799d73_lineage2.2.1_strain1	SRR13232692
ea372a47-956f-4720-b6a2-ed56cd013856_lineage2.2.1_strain1	SRR7516408
ea372a47-956f-4720-b6a2-ed56cd013856_lineage2.2.1_strain1	SRR7516409
ea372a47-956f-4720-b6a2-ed56cd013856_lineage2.2.1_strain1	SRR7516430
ea372a47-956f-4720-b6a2-ed56cd013856_lineage2.2.1_strain1	SRR7516431
ea372a47-956f-4720-b6a2-ed56cd013856_lineage2.2.1_strain1	SRR7516432
ea372a47-956f-4720-b6a2-ed56cd013856_lineage2.2.1_strain1	SRR7516433
eac3b6bc-a18b-46ed-8332-4f58ba8fa69b_lineage2.2.1_strain1	SRR16088124
eac886c7-16c7-41eb-aaae-170edc314c5d_lineage2.2.1_strain1	SRR13312517
